Gedad Vict;Año I;Canton;Provincia;Tipo muerte SRMCE2;NDD;Accion Infraccion;Agravantes 142 1;Agravantes 142 2;Agravantes 142 3;Agravantes 142 4;Ambito Genero;anteced VBG vict;Anteced Vic;Anteced Vict;Antecedentes2;antecedVBG vic vict;Años Privac;Apelacion;Area;Arma Especif;Atenuantes Art 42;Casacion;Categoria Tipificada;Categoria Vict;Circunstancias Art 140;Cod Provin;Cuenta Noticia Delito;Cuenta Victima;Defensor Publico;Delito Sent Ejec;Delito Sentencia;Dictamen;Disc Vic;Edad Reproductiva;Edad Vic;Edad Vict;Embarazo Vic;Estado Causa;Estado Ppl;Estcivil Vic;Estcivil Vict;Etnia Vic;Etnia Vict;Fecha Acta;fecha actualizacionCJ;Fecha Detencion;Fecha I;fecha ingresaMatriz;Fecha M;Fecha Ndd;Fecha Proceso;fecha reformulacion NDD;Fecha Sentencia;Fechafallec Vict;Garantia No Repeticion;Gedad Vic;Glbti Vic;Hijos Vic;Hora Acta;Hora I;Hora Ndd;Id Victima;Indemnizacion;Indicio Asex;Ingresa;Intento Suicidio;Latitud;Longitud;Lugar Especif;Lugar Hecho;Mas Buscados;Med Cautelares Art522;Mes I;Mod Tipo Penal Otro;Muerte Victimario;Nac Vic;Nac Vict;Ndd Pd;Ndd Reformulacion;ndd tipoPenal Actual;ndd tipoPenal Inicia;Niña Adoles;Nivel Educación Vic;Nivin Vic;Nivin Vict;Noticia Delito;Num Vic Conex;Numero Juicio;Numhijos Vic;Ocupa Vic;Ocupa Vict;Orden Captura;Otros Agravantes Art 47;Otros Victimarios;Otrosproced Vict;Otrosproced Vict2;otrosProces vic vict;Pcausa M;Ppl Menor;Presun Motiva;presun motivaEsp;Privac Modif;Profesion Vic;Profesion Vict;Profugo Victimario;Rehabilitacion;rela vicConex;Relacion Vic Agresor;reportada PD;Resol Apela;Resol Casac;Restitucion;Satisfaccion Simbolica;Sexo Vic;Sexo Vict;Termina Causa;Tipo Arma;Tipo muerte SRMCE;Tipo Sent Ejec;Tipo Sentencia;Vic Conex;Victimas Indirect
ENTRE 15 Y 24 AÑOS;2016;IBARRA;IMBABURA;FEMICIDIO;100501816100003;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;LESIONES;SI;NO IDENTIFICADO;NO APLICA;NO APLICA;RURAL;SOGA;NO APLICA;NO APLICA;FEMICIDIO;NO IDENTIFICADO;NO APLICA;10;1;1;;NO APLICA;NO APLICA;ABSTENTIVO;NINGUNA;SI;20;22;NO;RESUELTA;NO APLICA;SOLTERO/A;SOLTERO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;AFROECUATORIANO/A-AFRODESCENDIENTE;11/9/2016;;30/12/1899;11/9/2016;;11/9/2016;5/10/2016;10/7/2018;;30/12/1899 0:00:00;NO IDENTIFICADO;NO APLICA;ENTRE 15 Y 24 AÑOS;NO;NO;09:30;05:00;30/12/1899 9:48:39;25984;NO APLICA;;SAI;NO IDENTIFICADO;0,432759246;-77,966834530;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;9;NO APLICA;NO IDENTIFICADO;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;BACHILLERATO;1;NO APLICA;10281201802491G;NO APLICA;COMERCIANTE;JORNALERO;NO APLICA;NO APLICA;NO;NO;;NO IDENTIFICADO;AHORCADURA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;JORNALERO;NO IDENTIFICADO;NO APLICA;NO APLICA;NO IDENTIFICADO;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;ARCHIVO DE LA INVESTIGACION PREVIA;CONSTRICTORA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 25 Y 34 AÑOS;2016;QUITO;PICHINCHA;FEMICIDIO;170101816093258;;SI;SI;NO;NO;PUBLICO;NO;NO;DAÑOS MATERIALES;SI;VIOLENCIA PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;34 AÑOS Y 8 MESES;NO;URBANA;NINGUNA;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;17;1;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;30;30;NO;RESUELTA;SENTENCIADO;CASADO/A;CASADO/A;INDIGENA;MESTIZO/A;17/9/2016;;18/9/2016;12/9/2016;;17/9/2016;19/9/2016;18/9/2016;;15/8/2017 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;NO;SI;18:00;00:00;30/12/1899 12:51:58;26110;SI;;FLAGRANCIA;SIN DATO;-0,061176485;-78,433172629;OTRO LUGAR;TERRENO BALDIO;NO APLICA;6;9;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;EDUCACION BASICA;1;NO APLICA;17282201605003;2;TRABAJADORA DEL HOGAR NO REMUNERADA;ALBAÑIL;NO APLICA;47.7;NO;NO;;NO;ESTRANGULACION;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;EMPLEADA;JORNALERO;NO;NO;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;OTROS;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;2 HIJOS/AS
ENTRE 15 Y 24 AÑOS;2016;CAYAMBE;PICHINCHA;OTRAS MUERTES VIOLENTAS;170201819090156;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;ATENTADO AL PUDOR DE UN MENOR DE EDAD;NO;NO;;NO;NO APLICA;NO APLICA;RURAL;ASADON;NO APLICA;NO APLICA;ASESINATO;FALLECIDO;NO APLICA;17;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;NO;87;21;NO APLICA;INVESTIGACION PREVIA;NO APLICA;VIUDO/A;SOLTERO/A;INDIGENA;MESTIZO/A;14/9/2016;25/7/2021;NO APLICA;13/9/2016;;13/9/2016;20/9/2019;;;30/12/1899 0:00:00;14/9/2016;NO APLICA;DE 65 AÑOS Y MÁS;NO;SI;13:00;22:00;30/12/1899 9:50:00;26054;NO APLICA;;SAI;NO APLICA;0,144462954;-78,082659692;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;NO APLICA;9;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;NO;140 ASESINATO;140 ASESINATO;;NINGUNO;NINGUNO;SIN DATO;1;NO APLICA;;SIN DATO;QUEHACER DOMESTICOS;SIN DATO;NO APLICA;NO APLICA;NO;NO;SI;NO;HERIDAS CONTUSAS;NO;SICOPATOLOGIAS;TRANSTORNOS MENTALES;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO APLICA;NO APLICA;NO APLICA;PARIENTE CONSANGUINEO (FAMILIAR);;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;OTROS;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 35 Y 44 AÑOS;2016;DURAN;GUAYAS;FEMICIDIO;090701816090523;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;VIOLENCIA PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;NO APLICA;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;09;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;42;40;NO;INVESTIGACION PREVIA;NO APLICA;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;14/9/2016;;NO APLICA;14/9/2016;;14/9/2016;13/1/2017;30/12/1899;;30/12/1899 0:00:00;14/9/2016;NO APLICA;ENTRE 35 Y 44 AÑOS;NO;NO;23:30;21:20;30/12/1899 9:01:21;26056;NO APLICA;;SAI;NO APLICA;-2,175551069;-79,810045481;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;NO APLICA;9;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;REFORMULACION A 141 FEMICIDIO;141 FEMICIDIO;140 ASESINATO;;BACHILLERATO;BACHILLERATO;BACHILLERATO;1;NO APLICA;;NO APLICA;TRABAJADORA DEL HOGAR NO REMUNERADA;CHOFER;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO APLICA;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;CHOFER PROFESIONAL;NO APLICA;NO APLICA;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 15 Y 24 AÑOS;2016;SANTO DOMINGO;SANTO DOMINGO DE LOS TSACHILAS;FEMICIDIO;230101816090409;;NO;SI;NO;NO;PUBLICO;NO;NO;NO;;NO;26 AÑOS;SI;RURAL;CUCHILLO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;23;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;35;21;NO;RESUELTA;SENTENCIADO;DIVORCIADO/A;SOLTERO/A;MESTIZO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;17/9/2016;;17/9/2016;17/9/2016;;17/9/2016;19/9/2016;18/9/2016;;27/1/2017 0:00:00;NO APLICA;NO;ENTRE 35 Y 44 AÑOS;NO;SI;16:00;14:00;30/12/1899 8:54:06;26106;SI;;FLAGRANCIA;SIN DATO;-0,187955;-79,244447;OTRO LUGAR;FINCA;NO APLICA;6;9;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;BACHILLERATO;1;NO APLICA;23281201602360;2;TRABAJADORA DEL HOGAR NO REMUNERADA;AGRICULTOR;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO;NO APLICA;PAREJA;;RATIFICA SENTENCIA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;2 HIJOS/AS
ENTRE 25 Y 34 AÑOS;2016;QUITO;PICHINCHA;FEMICIDIO;170101816093121;;NO;SI;SI;NO;PRIVADO;NO;SI;"LESIONES; ROBO";SI;NO;34 AÑOS Y 8 MESES;NO;URBANA;CUCHILLO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;17;1;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;25;26;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;18/9/2016;;19/9/2016;18/9/2016;;18/9/2016;19/9/2016;19/9/2016;;21/7/2017 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;NO;SI;11:30;06:00;30/12/1899 7:27:10;26120;SI;;FLAGRANCIA;SIN DATO;-0,341553323;-78,566942923;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;9;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;EDUCACION BASICA;BACHILLERATO;1;NO APLICA;17282201605015;4;TRABAJADORA DEL HOGAR NO REMUNERADA;EMPLEADO PRIVADO;NO APLICA;47.7;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;ESTUDIANTE;EMPLEADO PRIVADO;NO;SI;NO APLICA;CONVIVIENTE;;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"3 HIJOS/AS; MADRE"
ENTRE 25 Y 34 AÑOS;2016;PALANDA;ZAMORA CHINCHIPE;OTRAS MUERTES VIOLENTAS;190801816090012;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;NO;;NO;NO APLICA;NO APLICA;RURAL;SIN DATO;NO APLICA;NO APLICA;HOMICIDIO;SOSPECHOSO;NO APLICA;19;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;NO;13;25;NO;INVESTIGACION PREVIA;SIN DATO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;28/9/2016;;30/12/1899;18/9/2016;;18/9/2016;28/9/2016;9/10/2019;;30/12/1899 0:00:00;NO APLICA;NO APLICA;MENORES DE 15 AÑOS;NO;NO;23:15;12:00;30/12/1899 17:02:53;26305;NO APLICA;SI;SAI;SIN DATO;-4,68052873;-79,13504078;OTRO LUGAR;RIO;SIN DATO;6;9;NO APLICA;NO APLICA;ECUADOR;ECUADOR;6-AA-DP-2298;NO;144 HOMICIDIO;144 HOMICIDIO;Adolescente;EDUCACION BASICA;EDUCACION BASICA;EDUCACION BASICA;1;NO APLICA;19303201900412G;NO APLICA;ESTUDIANTE;SIN DATO;SIN DATO;NO APLICA;SI;NO;;NO;ASFIXIA;NO;VIOLENCIA SEXUAL;VIOLACION FAMILIAR DIRECTO (PERSONA CONOCIDA);NO APLICA;ESTUDIANTE;ESTUDIANTE;SIN DATO;NO APLICA;NO APLICA;CONOCIDO/A;SI;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;OTROS;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 35 Y 44 AÑOS;2016;GUAYAQUIL;GUAYAS;OTRAS MUERTES VIOLENTAS;090101816094813;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;34 AÑOS Y 8 MESES;SI;URBANA;NINGUNA;NO;SI;ASESINATO;SENTENCIADO;"2;3;5";09;1;1;;140 ASESINATO;140 ASESINATO;ACUSATORIO;NINGUNA;NO;59;36;NO APLICA;RESUELTA;SENTENCIADO;CASADO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;25/9/2016;10/3/2020;30/12/1899;25/9/2016;;25/9/2016;25/9/2016;27/12/2016;;12/1/2018 0:00:00;NO APLICA;NO;ENTRE 45 Y 64 AÑOS;NO;SI;16:00;08:30;30/12/1899 17:30:41;26250;SI;;FLAGRANCIA;SIN DATO;-2,197414806;-79,886317011;OTRO DOMICILIO;DEPARTAMENTO EN CASA O EDIFICIO;NO APLICA;6;9;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;140 ASESINATO;140 ASESINATO;;BACHILLERATO;SECUNDARIA;SUPERIOR;1;NO APLICA;09286201605426;SIN DATO;COMERCIANTE;COMERCIANTE;NO APLICA;47.1;NO;NO;;NO;ESTRANGULACION;NO;DELINCUENCIA COMUN;AMENAZA;NO APLICA;EMPLEADA;EMPLEADO;NO;NO;NO APLICA;RELACION LABORAL/COLEGAS;;NEGANDO RECURSO;INADMISION;NO;NO;MUJER;HOMBRE;SENTENCIA;OTROS;ASESINATO;CONDENATORIA;CONDENATORIA;NO;HIJA
ENTRE 35 Y 44 AÑOS;2016;CUENCA;AZUAY;FEMICIDIO;010101816100101;;NO;NO;NO;NO;PRIVADO;NO;NO;NO;;NO;13 AÑOS;SI;URBANA;PRENDA TEXTIL;42.1;NO;FEMICIDIO;SENTENCIADO;NO APLICA;01;1;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;23;39;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;3/10/2016;17/10/2021;8/12/2016;1/10/2016;;1/10/2016;4/10/2016;8/12/2016;;25/5/2017 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;NO;17:00;20:00;30/12/1899 15:08:23;26406;SI;;SAI;SIN DATO;-2,88999;-78,998635;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;10;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;SECUNDARIA;SIN DATO;1;NO APLICA;01283201608723G;NO APLICA;ESTILISTA;SIN DATO;NO APLICA;NO;NO;NO;;NO;ESTRANGULACION;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;EMPLEADO;NO;NO;NO APLICA;AMIGO/A;;RECHAZANDO RECURSO;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;CONSTRICTORA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 25 Y 34 AÑOS;2016;EL CARMEN;MANABI;OTRAS MUERTES VIOLENTAS;130401816100010;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;" TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN; ASOCIACIÓN ILÍCITA";SI;NO;34 AÑOS Y 8 MESES;SI;URBANA;REVOLVER;NO;NO;ASESINATO;SENTENCIADO;9;13;1;1;SI;140 ASESINATO;140 ASESINATO;ACUSATORIO;NINGUNA;SI;23;30;SI;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;2/10/2016;11/3/2020;2/10/2016;2/10/2016;;2/10/2016;4/10/2016;3/10/2016;;8/8/2017 0:00:00;NO APLICA;SI;ENTRE 15 Y 24 AÑOS;NO;SI;18:30;16:40;30/12/1899 15:03:41;26381;SI;;FLAGRANCIA;SIN DATO;-0,277967;-79,466507;OTRO LUGAR;NIGHT CLUBS;NO APLICA;6;10;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;EDUCACION BASICA;SIN DATO;1;NO APLICA;13259201600352;SIN DATO;NO DETERMINADO;COMERCIANTE DE MARISCOS;NO APLICA;47.11;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA COMUNITARIA;ACTOS DE ODIO;NO APLICA;QUEHACER. DOMESTICOS;JORNALERO;NO;NO;NO APLICA;CONOCIDO/A;NO;NEGANDO RECURSO;NO APLICA;SI;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;ASESINATO;CONDENATORIA;CONDENATORIA;NO;CONYUGE
ENTRE 25 Y 34 AÑOS;2016;MACHALA;EL ORO;FEMICIDIO;070101816100027;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;NO APLICA;NO APLICA;URBANA;REVOLVER;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;07;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;25;26;NO;RESUELTA;NO APLICA;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;2/10/2016;;NO APLICA;2/10/2016;;2/10/2016;3/10/2016;30/12/1899;;30/12/1899 0:00:00;2/10/2016;NO APLICA;ENTRE 25 Y 34 AÑOS;NO;SI;14:13;06:30;30/12/1899 10:52:40;26378;NO APLICA;;SAI;NO APLICA;-3,249813656;-79,953125473;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;NO APLICA;10;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;EDUCACION BASICA;SUPERIOR;1;NO APLICA;NO APLICA;2;COMERCIANTE;CHOFER;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;TLGO.MECANICA INDUST;NO APLICA;NO APLICA;NO APLICA;PAREJA;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;EXTINCION DEL EJERCICIO DE LA ACCION PENAL;ARMA DE FUEGO;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 45 Y 64 AÑOS;2016;MANTA;MANABI;FEMICIDIO;130801816100155;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;NO APLICA;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;13;1;1;SI;NO APLICA;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;46;59;NO;RESUELTA;FALLECIDO DURANTE EL PROCESO;CASADO/A;CASADO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;MESTIZO/A;10/10/2016;;30/12/1899;10/10/2016;;10/10/2016;12/10/2016;11/10/2016;;30/12/1899 0:00:00;25/1/2017;NO APLICA;ENTRE 45 Y 64 AÑOS;NO;SI;19:40;19:00;30/12/1899 9:40:21;26528;NO APLICA;;FLAGRANCIA;NO APLICA;-0,950767;-80,7252;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;10;NO APLICA;SUICIDIO EN CPL;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;SECUNDARIA;PRIMARIA;1;NO APLICA;13284201601895;SIN DATO;TRABAJADORA DEL HOGAR NO REMUNERADA;COMERCIANTE;NO APLICA;NO APLICA;NO;NO;;"JUICIO DE ALIMENTOS; DIVORCIO POR CAUSAL";HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;COMERCIANTE;NO APLICA;NO APLICA;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;EXTINCION DEL EJERCICIO DE LA ACCION PENAL;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 15 Y 24 AÑOS;2016;DURAN;GUAYAS;OTRAS MUERTES VIOLENTAS;090701816100361;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;"ROBO; ASESINATO";SI;NO IDENTIFICADO;NO APLICA;NO;URBANA;CUCHILLO;NO APLICA;NO;ASESINATO;NO IDENTIFICADO;NO APLICA;09;1;1;;NO APLICA;NO APLICA;ABSTENTIVO;NINGUNA;NO;68;24;NO APLICA;RESUELTA;LIBRE;VIUDO/A;SOLTERO/A;MESTIZO/A;SIN DATO;13/10/2016;11/3/2020;30/12/1899;13/10/2016;;13/10/2016;19/10/2016;30/4/2017;;2/5/2018 0:00:00;NO APLICA;NO APLICA;DE 65 AÑOS Y MÁS;NO;SI;13:20;09:30;30/12/1899 15:22:03;26568;NO APLICA;;SAI;NO IDENTIFICADO;-2,170038982;-79,826561451;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;10;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;PRIMARIA;EDUCACION BASICA;1;NO APLICA;09287201700551;SIN DATO;QUEHACER DOMESTICOS;VENDEDOR AMBULANTE;NO APLICA;NO APLICA;NO;NO;;NO IDENTIFICADO;HERIDA POR ARMA BLANCA;NO;DELINCUENCIA COMUN;ROBO A PERSONAS;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO APLICA;NO APLICA;NO IDENTIFICADO;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;ASESINATO;RATIFICATORIA DE INOCENCIA;RATIFICATORIA DE INOCENCIA;NO;NO APLICA
ENTRE 25 Y 34 AÑOS;2016;EL GUABO;EL ORO;FEMICIDIO;070601816100079;;SI;NO;NO;NO;PRIVADO;NO;NO;NO;;NO;26 AÑOS;NO;URBANA;PISTOLA;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;07;1;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;20;26;NO;RESUELTA;SENTENCIADO;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;23/10/2016;;24/10/2016;23/10/2016;;23/10/2016;25/10/2016;24/10/2016;;4/1/2018 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;NO;14:00;12:30;30/12/1899 11:15:49;26750;SI;;FLAGRANCIA;SIN DATO;-3,249357326;-79,838823304;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;10;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;REFORMULACION A 141 FEMICIDIO;141 FEMICIDIO;144 HOMICIDIO;;BACHILLERATO;BACHILLERATO;BACHILLERATO;1;NO APLICA;07259201600321;NO APLICA;TRABAJADORA DEL HOGAR NO REMUNERADA;POLICIA;NO APLICA;NO;NO;JUICIO DE ALIMENTOS;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;BACHILLER;POLICIA;NO;SI;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"MADRE; PADRE"
ENTRE 35 Y 44 AÑOS;2016;SANTO DOMINGO;SANTO DOMINGO DE LOS TSACHILAS;FEMICIDIO;230101816100588;;SI;NO;NO;NO;PRIVADO;NO;NO;NO;;VIOLENCIA PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;34 AÑOS Y 8 MESES;SI;URBANA;CUCHILLO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;23;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;32;39;NO;RESUELTA;SENTENCIADO;CASADO/A;CASADO/A;MESTIZO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;26/10/2016;;26/10/2016;26/10/2016;;26/10/2016;27/10/2016;27/10/2016;;4/4/2017 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;NO;SI;04:35;04:00;30/12/1899 16:26:33;26786;SI;;FLAGRANCIA;SIN DATO;-0,27611;-79,17354;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;10;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;BACHILLERATO;1;NO APLICA;23281201602708;3;AGRICULTORA;AGRICULTOR;NO APLICA;47.1;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;QUEHACER. DOMESTICOS;EMPLEADO PRIVADO;NO;NO;NO APLICA;CONYUGE;;RATIFICA SENTENCIA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;3 HIJOS/AS
